,Size,en,cs,de,es,fr,ru,sr,bn,zh,ja,ko,ar,th,hu,vi,sw,te,avg,STD,GAP,max
Ruler_vi,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,98,93,74.5,69.25,60,60.15,57,57.78,52.5,42.61,81,73.15625,,,,,,,,,
qwen2.5-7b-instruct,131072,92,80,56.75,11,66,46.03,63,45.18,55.5,26.88,51.4,59.45625,,,,,,,,,
Internlm2.5-7B-chat,131072,52,40,64.25,1.75,35,31.74,37,27.83,20.5,15.45,33.6,35.5125,,,,,,,,,
qwen2.5-32b-instruct,131072,100,92,90.75,74,79,49.23,79,51.92,76.5,32.38,98.2,86.18125,,,,,,,,,
Llama-3.1-70B-Instruct,131072,86,76,87.75,60.25,42,41.72,41,38.03,45.5,30.84,62,62.5625,,,,,,,,,
Llama-3.3-70B-Instruct,131072,84,65,81.25,28,40,34.85,36,33.81,41,26.01,61,54.53125,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,100,96,96,74.75,67,67.94,72,65.11,70,55.8,99.6,84.41875,,,,,,,,,
DeepSeek-V3,131072,100,98,99,96,73,56.33,78,63.47,73,60.57,99.8,89.6,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,98,97.75,92.25,73,61.34,74,66,71.5,39.2,99.2,88.2125,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_cs,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,98,95,75.25,77.5,53,56.25,49,49.67,46,34.67,69,70.34375,,,,,,,,,
qwen2.5-7b-instruct,131072,91,82,54.75,21.25,47,29.75,46,28.07,30.5,15.73,52.4,53.1125,,,,,,,,,
Internlm2.5-7B-chat,131072,31,23,52.5,0,40,30.41,45,37.14,31.5,17.8,18.2,30.15,,,,,,,,,
qwen2.5-32b-instruct,131072,100,90,89.75,72.75,59,43.81,67,50.2,51,38.55,97.8,78.4125,,,,,,,,,
Llama-3.1-70B-Instruct,131072,82,80,87.25,49,39,39.87,32,32.88,37.5,31.04,61.8,58.56875,,,,,,,,,
Llama-3.3-70B-Instruct,131072,94,81,76.25,40,31,30.24,24,23.81,28.5,21.28,50.8,53.19375,,,,,,,,,
